,Original Route,Designated Route 1,MDOT Route,Designated Route 2
Boasso Global,216.99723751623517,332.5699485259212,231.0819270116683,267.01279941986286
Central Transport,213.9240060876908,351.71095603030625,231.5732878716894,257.5076723027623
ContainerPort Group Detroit,217.29681071660886,302.4171887526482,238.3820848828036,300.3400935533992
Detroit Produce Terminal,191.74674474083477,349.9010489620563,217.1322726905577,245.87205392014195
Logistics Insights Inc,206.5604811629024,318.22880230988306,210.49512176098418,243.75501505024332
Norfolk Southern,187.65965553032916,368.0432088749989,197.33418348414975,217.2392130371616
"Renaissance Global Logistics,",179.2274868092107,428.1988925380265,190.63851632542276,223.14146796065862
Universal Trucking,197.79972167810348,414.78155684499626,213.7891074741836,227.86316023189895
